id,name
2,Goldberg
exchange,inherited,internalRate,minimumFee,override,rebateRate,ticker,type
CME,False,1.5,0.0,True,1.5,EW4,option
CME,False,1.5,0.0,True,1.5,GE,option
CME,False,1.5,0.0,True,1.5,GE0,option
CME,False,0.9,0.0,True,1.5,GE2,option
CME,False,1.5,0.0,True,1.5,GE3,option
CME,False,1.5,0.0,True,1.5,LE,option
CME,False,1.5,0.0,True,1.5,NQ,option
COMEX,False,1.5,0.0,True,1.5,,option
COMEX,False,1.5,0.0,True,1.5,OG,option
COMEX,False,1.5,0.0,True,1.5,SO,option
EUREX,False,2.0,0.0,True,2.0,,option
EUREX,False,2.0,0.0,True,2.0,ODAX,option
EUREX,False,2.0,0.0,True,2.0,OESX,option
EUREX,False,2.0,0.0,True,2.0,OGBL,option
FORTS,False,1.5,0.0,True,1.5,,option
FORTS,False,1.0,0.0,True,10.0,BR,option
FORTS,False,1.5,0.0,True,1.5,LKOH,option
FORTS,False,1.0,0.0,True,1.0,RTS,option
FORTS,False,1.0,0.0,True,1.0,Si,option
ICE,False,1.5,0.0,True,1.5,,option
ICE,False,1.5,0.0,True,1.5,DXY,option
ICE,False,1.5,0.0,True,1.5,R,option
ICE,False,2.25,0.0,True,1.5,SO,option
LIFFE,False,1.5,0.0,True,1.5,I,option
LIFFE,False,1.5,0.0,True,1.5,L,option
NYMEX,False,1.5,0.0,True,1.5,,option
NYMEX,False,1.5,0.0,True,1.5,LO,option
NYMEX,False,1.5,0.0,True,1.5,LO1,option
NYMEX,False,1.5,0.0,True,1.5,LO2,option
NYMEX,False,1.5,0.0,True,1.5,LO3,option
NYMEX,False,1.5,0.0,True,1.5,ON,option
,False,0.0005,0.0,True,0.0005,,stock
AMEX,False,0.02,0.0,True,0.02,,stock
ARCA,False,0.02,0.0,True,0.02,,stock
ASX,False,0.0015,0.0,True,0.0015,,stock
BM,False,0.001,0.0,True,0.001,,stock
HKEX,False,0.0025,0.0,True,0.0025,,stock
MICEX,False,0.0001,0.0,True,0.0001,,stock
MIL,False,0.001,0.0,True,0.0001,,stock
NASDAQ,False,0.02,0.0,True,0.02,,stock
NYSE,False,0.02,0.0,True,0.02,,stock
OSE,False,0.0018,25.0,True,0.0018,,stock
OTCBB,False,0.02,0.0,True,0.02,,stock
OTCMKTS,False,0.02,0.0,True,0.02,,stock
SB,False,0.0018,25.0,True,0.0018,,stock
SGX,False,0.0025,0.0,True,0.0025,,stock
SIX,False,0.0018,25.0,True,0.0018,,stock
SOMX,False,0.0015,0.0,True,0.0015,,stock
TMX,False,0.02,0.0,True,0.02,,stock
id,name
10,IB match stocks + futures
exchange,inherited,internalRate,minimumFee,override,rebateRate,ticker,type
CBOE,False,0.85,0.0,True,0.0,,future
CBOE,False,0.85,0.0,True,0.0,VIX,future
CBOT,False,0.85,0.0,True,0.0,,future
CBOT,False,0.85,0.0,True,0.0,AW,future
CBOT,False,0.85,0.0,True,0.0,EH,future
CBOT,False,0.85,0.0,True,0.0,YM,future
CBOT,False,0.85,0.0,True,0.0,ZB,future
CBOT,False,0.85,0.0,True,0.0,ZC,future
CBOT,False,0.85,0.0,True,0.0,ZF,future
CBOT,False,0.85,0.0,True,0.0,ZL,future
CBOT,False,0.85,0.0,True,0.0,ZM,future
CBOT,False,0.85,0.0,True,0.0,ZN,future
CBOT,False,0.85,0.0,True,0.0,ZO,future
CBOT,False,0.85,0.0,True,0.0,ZQ,future
CBOT,False,0.85,0.0,True,0.0,ZR,future
CBOT,False,0.85,0.0,True,0.0,ZS,future
CBOT,False,0.85,0.0,True,0.0,ZT,future
CBOT,False,0.85,0.0,True,0.0,ZW,future
CME,False,0.85,0.0,True,0.0,,future
CME,False,0.85,0.0,True,0.0,6A,future
CME,False,0.85,0.0,True,0.0,6B,future
CME,False,0.85,0.0,True,0.0,6C,future
CME,False,0.85,0.0,True,0.0,6E,future
CME,False,0.85,0.0,True,0.0,6J,future
CME,False,0.85,0.0,True,0.0,6M,future
CME,False,0.85,0.0,True,0.0,6N,future
CME,False,0.85,0.0,True,0.0,6R,future
CME,False,0.85,0.0,True,0.0,6S,future
CME,False,0.85,0.0,True,0.0,CNH,future
CME,False,0.85,0.0,True,0.0,ES,future
CME,False,0.85,0.0,True,0.0,GE,future
CME,False,0.85,0.0,True,0.0,GF,future
CME,False,0.85,0.0,True,0.0,LBS,future
CME,False,0.85,0.0,True,0.0,LE,future
CME,False,0.85,0.0,True,0.0,LH,future
CME,False,0.85,0.0,True,0.0,NK,future
CME,False,0.85,0.0,True,0.0,NQ,future
CME,False,0.85,0.0,True,0.0,RMB,future
CME,False,0.85,0.0,True,0.0,RP,future
CME,False,0.85,0.0,True,0.0,RY,future
CME,False,0.85,0.0,True,0.0,SP,future
COMEX,False,0.85,0.0,True,0.0,,future
COMEX,False,0.85,0.0,True,0.0,GC,future
COMEX,False,0.85,0.0,True,0.0,GCK,future
COMEX,False,0.85,0.0,True,0.0,HG,future
COMEX,False,0.85,0.0,True,0.0,MGC,future
NYMEX,False,0.85,0.0,True,0.0,,future
NYMEX,False,0.85,0.0,True,0.0,HRC,future
NYMEX,False,0.85,0.0,True,0.0,QG,future
NYMEX,False,0.85,0.0,True,0.0,QM,future
NYMEX,False,1.7,0.0,True,0.0,RB-HO,future
NYSELIFFEUS,False,0.85,0.0,True,0.0,,future
NYSELIFFEUS,False,0.85,0.0,True,0.0,MME,future
AMEX,False,0.005,0.0,True,0.0,,stock
ARCA,False,0.005,0.0,True,0.0,,stock
NASDAQ,False,0.005,0.0,True,0.0,,stock
NYSE,False,0.005,0.0,True,0.0,,stock
id,name
11,XJO4339
exchange,inherited,internalRate,minimumFee,override,rebateRate,ticker,type
E,False,0.00001,0.0,True,0.0,XAG/USD,fx_spot
E,False,0.00001,0.0,True,0.0,XAU/USD,fx_spot
EU,False,0.00001,0.0,True,0.0,XAG/USD,fx_spot
EU,False,0.00001,0.0,True,0.0,XAU/USD,fx_spot
F,False,0.00001,0.0,True,0.0,XAG/USD,fx_spot
F,False,0.00001,0.0,True,0.0,XAU/USD,fx_spot
G,False,0.00001,0.0,True,0.0,XAG/USD,fx_spot
G,False,0.00001,0.0,True,0.0,XAU/USD,fx_spot
I,False,0.00001,0.0,True,0.0,XAG/USD,fx_spot
I,False,0.00001,0.0,True,0.0,XAU/USD,fx_spot
NY,False,0.00001,0.0,True,0.0,XAU/USD,fx_spot
id,name
12,Polish Clients
exchange,inherited,internalRate,minimumFee,override,rebateRate,ticker,type
E,False,0.00001,0.0,True,0.0,,fx_spot
EU,False,0.00001,0.0,True,0.0,,fx_spot
F,False,0.00001,0.0,True,0.0,,fx_spot
NY,False,0.00001,0.0,True,0.0,,fx_spot
NY2,False,0.00001,0.0,True,0.0,,fx_spot
id,name
14,70% NET
exchange,inherited,internalRate,minimumFee,override,rebateRate,ticker,type
A.INDEX,False,0.00015,0.0,True,0.00035,,cfd
C,False,0.0015,0.0,True,0.0035,,cfd
CN,False,0.00236,0.0,True,0.00014,,cfd
US,False,0.01125,0.0,True,0.00875,,cfd
ASX,False,1.395,0.0,True,0.105,,future
ASX,True,1.395,0.0,True,0.105,AP,future
ASX,True,1.395,0.0,True,0.105,IB,future
CBOE,False,0.765,0.0,True,0.735,,future
CBOE,True,0.765,0.0,True,0.735,VIX,future
CBOE,True,0.765,0.0,True,0.735,VIXW,future
CBOE,True,0.765,0.0,True,0.735,VU,future
CBOE,True,0.765,0.0,True,0.735,VXTY,future
CBOT,False,0.765,0.0,True,0.735,,future
CBOT,True,0.765,0.0,True,0.735,AW,future
CBOT,True,0.765,0.0,True,0.735,EH,future
CBOT,True,0.765,0.0,True,0.735,UB,future
CBOT,True,0.765,0.0,True,0.735,YM,future
CBOT,True,0.765,0.0,True,0.735,ZB,future
CBOT,True,0.765,0.0,True,0.735,ZC,future
CBOT,True,0.765,0.0,True,0.735,ZF,future
CBOT,True,0.765,0.0,True,0.735,ZL,future
CBOT,True,0.765,0.0,True,0.735,ZM,future
CBOT,True,0.765,0.0,True,0.735,ZN,future
CBOT,True,0.765,0.0,True,0.735,ZO,future
CBOT,True,0.765,0.0,True,0.735,ZQ,future
CBOT,True,0.765,0.0,True,0.735,ZR,future
CBOT,True,0.765,0.0,True,0.735,ZS,future
CBOT,True,0.765,0.0,True,0.735,ZT,future
CBOT,True,0.765,0.0,True,0.735,ZW,future
CME,False,0.765,0.0,True,0.735,,future
CME,True,0.765,0.0,True,0.735,6A,future
CME,True,0.765,0.0,True,0.735,6B,future
CME,True,0.765,0.0,True,0.735,6C,future
CME,True,0.765,0.0,True,0.735,6E,future
CME,True,0.765,0.0,True,0.735,6J,future
CME,True,0.765,0.0,True,0.735,6M,future
CME,True,0.765,0.0,True,0.735,6N,future
CME,True,0.765,0.0,True,0.735,6R,future
CME,True,0.765,0.0,True,0.735,6S,future
CME,True,0.765,0.0,True,0.735,ACD,future
CME,True,0.765,0.0,True,0.735,CNH,future
CME,True,0.765,0.0,True,0.735,EMD,future
